Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,329,328,23,7.01,155.35,1,0.30,0,0.00,0.00,4.41,6.25,25.31,98.98,1.02,90,3.92,24,4,11,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,279,273,7,2.56,33.51,6,2.15,3,1.08,1.08,4.68,6.20,26.74,99.4,0.6,60,4.83,18,0,15,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,108,106,6,5.66,53.81,2,1.85,0,0.00,0.00,4.67,6.66,25.12,100.0,0.0,0,4.57,7,0,4,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (1585-A & F),685073,5579,1585,253,246,12,4.88,97.74,7,2.77,5,1.98,0.79,5.01,7.76,22.48,98.81,1.19,120,3.73,15,4,8,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,399,392,17,4.34,89.89,7,1.75,2,0.50,0.25,5.26,7.01,21.49,98.81,1.19,120,4.22,18,2,10,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,607,597,32,5.36,163.71,10,1.65,3,0.49,0.49,5.45,6.87,22.57,99.1,0.9,90,4.06,51,8,28,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,253,250,14,5.60,107.66,3,1.19,0,0.00,0.40,5.09,6.61,24.22,100.0,0.0,0,3.87,15,3,7,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,178,177,6,3.39,20.33,1,0.56,1,0.56,0.00,4.60,6.41,24.31,99.64,0.36,30,4.14,7,0,2,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (7253-BAY COLONY),688121,5579,7253,129,124,5,4.03,19.51,5,3.88,4,3.10,1.55,4.09,6.05,21.40,99.59,0.41,34,4.29,7,0,2,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (1013-NORTH POMPANO),677517,5579,1013,135,135,8,5.93,73.53,0,0.00,0,0.00,0.00,4.36,5.64,18.56,99.64,0.36,30,4.14,7,1,4,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,163,162,2,1.23,22.28,1,0.61,1,0.61,0.00,4.30,6.14,22.06,100.0,0.0,0,4.44,9,0,5,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,347,336,10,2.98,87.37,11,3.17,4,1.15,0.00,5.92,7.95,26.94,98.21,1.79,180,4.42,31,2,19,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,43,42,2,4.76,48.11,1,2.33,0,0.00,0.00,4.57,6.10,20.33,100.0,0.0,0,5.00,3,0,3,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (2011-CORAL RIDGE),680386,5579,2011,125,123,5,4.07,30.75,2,1.60,0,0.00,0.00,4.40,5.80,21.37,99.64,0.36,30,4.22,9,1,5,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,528,516,28,5.43,162.42,12,2.27,7,1.33,0.00,5.35,7.60,26.43,97.46,2.54,256,4.13,40,6,25,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,159,156,3,1.92,12.40,3,1.89,1,0.63,0.00,4.34,6.13,22.18,99.35,0.65,60,4.79,14,0,11,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (681-COMMERCIAL),684427,5579,681,159,158,7,4.43,24.56,1,0.63,0,0.00,0.63,3.21,4.75,21.14,100.0,0.0,0,4.69,16,0,11,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (6712-EXECUTIVE),684429,5579,6712,112,112,6,5.36,31.83,0,0.00,0,0.00,0.00,4.97,7.46,22.98,99.66,0.34,30,4.22,9,1,5,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,270,265,10,3.77,60.68,5,1.85,2,0.74,0.00,4.53,6.21,21.87,98.88,1.12,113,4.94,17,0,16,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,252,249,11,4.42,69.56,3,1.19,1,0.40,0.00,4.22,5.99,21.83,99.41,0.59,59,4.47,15,1,10,USD
Week of 2025-06-30,2025-06-30,2025-07-06,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,100,100,3,3.00,10.50,0,0.00,0,0.00,0.00,4.44,5.92,21.25,100.0,0.0,0,4.60,5,0,3,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (5990-SOUTHGATE),684457,5579,5990,216,213,13,6.10,69.52,3,1.39,1,0.46,0.93,4.33,5.41,20.62,99.38,0.62,55,3.22,18,7,7,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (2565-5TH AVENUE),684468,5579,2565,197,196,13,6.63,46.14,1,0.51,0,0.00,0.00,3.99,5.55,22.64,100.0,0.0,0,2.88,16,8,6,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (3555-TAMARAC),684472,5579,3555,243,239,6,2.51,40.72,4,1.65,3,1.23,0.82,4.52,6.51,22.83,98.91,1.09,110,3.76,17,2,4,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,458,450,26,5.78,142.54,8,1.75,6,1.31,0.22,5.93,8.30,25.01,97.66,2.34,236,3.73,33,7,14,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (10671-LAKEWOOD),684491,5579,10671,223,221,3,1.36,10.33,2,0.90,0,0.00,0.00,3.74,5.62,22.16,100.0,0.0,0,4.55,11,0,6,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (32379-MIRABELLA),684546,5579,32379,421,415,8,1.93,30.44,6,1.43,2,0.48,0.24,2.75,4.61,22.42,99.79,0.21,21,4.57,14,1,11,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,342,336,8,2.38,22.75,6,1.75,3,0.88,0.29,5.60,7.27,24.06,97.11,2.89,291,4.33,21,2,13,USD
Week of 2025-06-30,2025-06-30,2025-07-06,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,175,174,7,4.02,22.76,1,0.57,0,0.00,0.00,3.20,5.18,49.98,100.0,0.0,0,4.55,11,0,8,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (24106-PALM AIRE),684906,5579,24106,206,195,7,3.59,32.87,11,5.34,2,0.97,0.49,4.28,6.88,25.54,99.78,0.22,22,3.25,8,3,3,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,200,199,11,5.53,86.50,1,0.50,0,0.00,0.00,4.12,6.46,20.96,99.32,0.68,60,3.72,18,4,9,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,267,265,12,4.53,108.13,2,0.75,2,0.75,0.00,4.51,6.39,23.80,98.65,1.35,119,3.61,18,5,9,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,297,294,7,2.38,43.08,3,1.01,3,1.01,0.34,3.89,5.69,22.49,99.7,0.3,30,4.50,12,0,6,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,101,99,5,5.05,40.71,2,1.98,0,0.00,0.00,3.67,5.45,23.52,99.66,0.34,30,3.86,7,2,5,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (1585-A & F),685073,5579,1585,206,199,4,2.01,11.51,7,3.40,3,1.46,0.00,4.67,6.61,25.65,98.52,1.48,149,4.00,10,2,6,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,335,331,9,2.72,48.28,4,1.19,1,0.30,0.00,4.41,6.03,21.69,97.82,2.18,220,4.43,14,0,8,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,522,512,18,3.52,59.50,10,1.92,2,0.38,0.19,4.03,5.75,21.44,98.88,1.12,112,4.00,47,10,30,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,233,229,7,3.06,37.99,4,1.72,0,0.00,0.00,4.41,6.05,25.25,100.0,0.0,0,4.18,11,1,5,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,137,135,5,3.70,13.82,2,1.46,0,0.00,0.73,3.26,4.78,22.53,100.0,0.0,0,4.33,9,1,6,USD
Week of 2025-06-30,2025-06-30,2025-07-06,McDonald's (7253-BAY COLONY),688121,5579,7253,138,135,5,3.70,41.66,3,2.17,2,1.45,0.72,3.64,5.36,22.85,99.64,0.36,30,4.70,10,0,7,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (1013-NORTH POMPANO),677517,5579,1013,115,114,2,1.75,8.33,1,0.87,0,0.00,0.00,4.33,5.24,19.09,100.0,0.0,0,4.60,5,0,3,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,141,141,2,1.42,11.71,0,0.00,0,0.00,0.00,4.19,6.17,23.13,99.64,0.36,30,4.58,12,0,7,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,296,289,15,5.19,119.54,7,2.36,6,2.03,1.35,5.09,6.92,24.56,99.3,0.7,71,3.63,27,8,15,USD
