Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
677517,McDonald's (1013-NORTH POMPANO),5579,1013,2025-07-28,USD,2536.19,0.00,291.49,0.00,0.00,367.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.06,9.52,1863.37,1872.89,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502061825,PAID,154.35,0.00,0.00,0.00,0.00,0.00,0.00,-308.86,-23.48,0.00,-58.41,23.48,0.00,9.52
680307,McDonald's (10397-SUNRISE/PINE ISLAND),5579,10397,2025-07-28,USD,3109.80,0.00,350.15,0.00,0.00,495.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.29,12.14,2243.33,2255.47,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502061502,PAID,186.44,0.00,0.00,0.00,0.00,0.00,0.00,-424.74,-21.92,0.00,-70.29,21.92,0.00,12.14
680368,McDonald's (2533-LAUDERDALE LAKES),5579,2533,2025-07-28,USD,6570.19,0.00,800.80,0.00,0.00,1118.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.93,28.98,4507.61,4536.59,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502072981,PAID,389.34,0.00,0.00,0.00,0.00,0.00,0.00,-969.36,-43.59,0.00,-149.49,43.59,0.00,28.98
680384,McDonald's (13565-GALT OCEAN MILE),5579,13565,2025-07-28,USD,1111.94,0.00,134.56,0.00,0.00,190.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.31,4.76,781.03,785.79,2025-07-21,2025-07-27,2025-07-21,2025-07-28,502067204,PAID,66.31,0.00,0.00,0.00,0.00,0.00,0.00,-164.30,0.00,0.00,-25.74,0.00,0.00,4.76
680386,McDonald's (2011-CORAL RIDGE),5579,2011,2025-07-28,USD,2906.30,0.00,332.78,0.00,0.00,410.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.30,12.51,2121.85,2134.36,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502065819,PAID,176.46,0.00,0.00,0.00,0.00,0.00,0.00,-363.84,-14.78,0.00,-46.53,14.78,0.00,12.51
680392,McDonald's (22008-OAKLAND & 55TH),5579,22008,2025-07-28,USD,11490.26,0.00,1447.52,0.00,0.00,2274.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.35,60.27,7542.16,7602.43,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502072179,PAID,659.63,0.00,0.00,0.00,0.00,0.00,0.00,-1982.11,-88.05,0.00,-292.12,88.05,0.00,60.27
680394,McDonald's (17009-OAKLAND & HIATUS),5579,17009,2025-07-28,USD,4091.21,0.00,481.26,0.00,0.00,743.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.70,16.92,2824.19,2841.11,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502069810,PAID,241.01,0.00,0.00,0.00,0.00,0.00,0.00,-647.03,0.00,0.00,-96.03,0.00,0.00,16.92
684427,McDonald's (681-COMMERCIAL),5579,681,2025-07-28,USD,3504.62,0.00,384.81,0.00,0.00,601.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.19,14.98,2453.97,2468.95,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502061670,PAID,207.97,0.00,0.00,0.00,0.00,0.00,0.00,-526.41,-7.41,0.00,-75.24,7.41,0.00,14.98
684429,McDonald's (6712-EXECUTIVE),5579,6712,2025-07-28,USD,2716.32,0.00,306.85,0.00,0.00,459.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.18,14.91,1916.06,1930.97,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502062036,PAID,160.39,0.00,0.00,0.00,0.00,0.00,0.00,-401.81,-22.43,0.00,-57.42,22.43,0.00,14.91
684443,McDonald's (7732-OAKLAND FOREST),5579,7732,2025-07-28,USD,7100.58,0.00,798.39,0.00,0.00,1183.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.17,32.31,5011.77,5044.08,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502071261,PAID,417.74,0.00,0.00,0.00,0.00,0.00,0.00,-1031.78,-111.37,0.00,-151.47,111.37,0.00,32.31
684444,McDonald's (7158-I-95 & SUNRISE),5579,7158,2025-07-28,USD,5602.47,0.00,680.12,0.00,0.00,989.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.26,23.90,3842.64,3866.54,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502070592,PAID,330.72,0.00,0.00,0.00,0.00,0.00,0.00,-854.81,-19.22,0.00,-134.64,19.22,0.00,23.90
684455,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",5579,27555,2025-07-28,USD,2345.12,0.00,255.20,0.00,0.00,446.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.04,14.68,1622.80,1637.48,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502066142,PAID,137.02,0.00,0.00,0.00,0.00,0.00,0.00,-387.67,0.00,0.00,-58.41,0.00,0.00,14.68
684457,McDonald's (5990-SOUTHGATE),5579,5990,2025-07-28,USD,4464.66,0.00,509.92,0.00,0.00,703.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.93,21.40,3172.52,3193.92,2025-07-21,2025-07-27,2025-07-21,2025-07-28,502066696,PAID,265.08,0.00,0.00,0.00,0.00,0.00,0.00,-608.25,-66.45,0.00,-95.04,66.45,0.00,21.40
684468,McDonald's (2565-5TH AVENUE),5579,2565,2025-07-28,USD,4181.84,0.00,468.18,0.00,0.00,756.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.20,22.51,2922.76,2945.27,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502063683,PAID,244.44,0.00,0.00,0.00,0.00,0.00,0.00,-658.69,-26.64,0.00,-98.01,26.64,0.00,22.51
684472,McDonald's (3555-TAMARAC),5579,3555,2025-07-28,USD,4924.46,0.00,593.42,0.00,0.00,840.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.19,23.29,3432.86,3456.15,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502073510,PAID,293.44,0.00,0.00,0.00,0.00,0.00,0.00,-725.16,-10.67,0.00,-115.83,10.67,0.00,23.29
684476,McDonald's (12885-MCNAB & ROCK ISLAND),5579,12885,2025-07-28,USD,9031.17,0.00,1174.08,0.00,0.00,1469.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.84,42.20,6161.36,6203.56,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502072547,PAID,534.12,0.00,0.00,0.00,0.00,0.00,0.00,-1302.58,-110.87,0.00,-167.31,110.87,0.00,42.20
